107,134,280
78,134,258
81,151,238
60,129,253
60,178,233
103,175,298
100,142,232
59,157,231
99,173,182
100,133,199
97,156,209
51,131,205
52,155,206
52,155,206
51,154,206
52,154,206
51,154,206
51,154,206
51,155,206
49,146,195
49,146,194
52,146,194
44,130,217
44,130,217
44,146,194
45,130,219
87,130,217
44,130,217
44,130,217
63,125,217
82,133,182
44,130,217
44,172,299
82,163,287
77,157,299
44,163,217
73,139,217
74,145,292
74,149,186
69,175,213
44,130,217
44,130,217
91,159,190
55,166,273
55,162,217
82,163,286
45,175,229
87,173,229
44,173,229
44,139,181
87,130,219
87,173,229
44,173,228
44,171,228
109,173,229
65,159,194
114,129,219
90,164,180
45,132,208
89,173,260
45,162,227
44,163,229
85,152,228
108,152,183
109,130,262
69,138,228
67,173,216
54,171,228
109,173,227
79,159,181
86,133,210
79,160,199
51,132,285
88,170,192
45,164,191
86,163,241
66,152,241
108,128,255
109,130,262
45,163,229
69,173,228
66,152,229
44,131,191
88,159,181
89,173,209
113,159,199
46,168,286
89,132,194
45,175,191
65,163,228
86,161,191
109,168,255
109,130,195
78,152,229
79,151,228
79,159,191
79,154,213
79,159,192
79,142,205
79,159,194
78,157,199
79,158,194
79,154,220
79,173,219
77,152,220
116,168,198
116,174,180
45,174,257
58,145,255
86,145,255
49,132,208
71,159,181
88,168,228
50,161,194
55,168,194
66,129,231
45,173,220
86,146,219
73,173,219
87,173,283
116,174,220
66,158,219
87,173,241
86,152,220
78,173,196
119,159,182
89,173,180
64,175,218
67,178,200
64,121,194
44,164,228
44,163,241
45,173,241
109,174,262
109,174,195
66,163,227
62,163,216
109,164,191
81,174,207
119,120,193
89,159,199
64,174,196
66,175,196
66,176,228
45,173,229
86,163,229
66,173,229
109,120,194
106,121,201
66,173,229
63,173,237
48,173,229
54,159,196
67,173,194
118,121,228
55,123,190
60,120,195
117,127,241
63,164,230
87,174,228
87,173,227
109,173,262
109,174,217
45,174,230
109,174,228
109,130,260
89,159,183
49,130,219
89,173,240
49,173,180
48,170,180
59,175,222
56,174,231
55,166,193
55,166,194
54,130,262
50,124,233
45,152,230
53,143,229
69,141,210
44,174,181
44,130,184
46,179,180
44,168,194
44,132,194
44,173,220
80,164,230
53,173,229
54,152,228
87,174,228
86,176,229
44,153,191
87,173,227
109,130,228
63,159,207
86,131,227
80,168,183
47,179,180
77,154,180
48,163,226
48,174,230
89,134,202
80,126,262
109,120,199
71,173,227
88,152,227
80,120,229
48,130,229
89,135,192
85,121,204
80,173,182
48,159,192
45,174,198
51,175,188
52,174,197
44,173,219
64,174,193
87,129,195
65,130,216
44,164,217
54,173,216
54,174,196
65,131,195
64,135,225
88,133,182
61,148,228
44,173,226
45,133,227
102,132,241
101,122,223
109,173,262
109,130,218
45,179,182
44,163,217
44,174,191
44,173,193
83,160,192
89,173,199
113,130,223
44,156,293
51,153,223
73,144,197
87,130,238
85,129,229
109,174,199
109,174,218
44,174,224
65,174,191
55,149,196
80,148,196
109,159,193
61,132,200
80,130,262
81,130,194
54,136,209
109,126,230
87,128,230
