47,177,294
59,120,237
93,127,213
102,137,206
93,127,237
92,126,229
98,125,197
116,139,220
66,165,230
64,164,225
98,130,227
96,131,222
99,127,223
98,128,225
56,139,250
68,133,233
99,131,201
99,133,299
98,127,202
96,123,243
98,131,197
99,123,228
64,128,299
98,130,229
99,132,199
98,128,224
74,123,227
119,120,239
80,161,240
49,147,220
81,149,228
119,120,263
49,177,294
51,139,233
96,130,263
82,124,262
115,158,266
115,129,294
116,130,264
113,126,267
72,134,217
82,130,214
97,133,267
64,128,230
115,130,214
116,127,214
65,176,251
61,122,202
96,130,233
49,124,206
81,176,251
115,129,214
115,124,213
108,175,213
97,137,212
112,149,224
79,155,232
81,124,213
116,144,216
113,149,227
116,123,231
118,120,214
106,130,233
82,124,251
81,124,251
116,124,233
48,121,181
71,142,214
72,124,214
82,123,214
96,130,194
106,130,214
99,124,214
115,128,214
65,129,214
48,123,215
98,176,214
98,175,213
81,124,214
49,140,213
49,158,213
81,176,214
106,140,213
81,148,222
110,148,221
107,123,210
65,147,221
112,149,223
114,141,189
116,155,194
65,130,214
108,130,232
109,131,218
49,129,192
48,147,194
112,120,297
110,139,293
98,147,295
98,129,196
67,130,296
65,127,222
98,132,230
55,145,191
48,174,193
49,147,204
65,130,262
109,130,209
108,129,192
64,141,193
114,153,192
79,159,234
65,122,244
46,138,278
46,139,278
47,139,282
78,158,235
82,159,248
74,147,184
64,162,194
53,158,183
55,167,222
49,166,184
64,129,194
64,128,288
63,127,285
97,129,284
81,130,187
115,126,284
115,128,290
58,145,232
81,122,223
81,123,184
97,122,212
81,123,246
81,133,212
81,145,206
48,122,206
81,123,251
81,136,215
81,148,226
85,152,228
85,142,212
49,143,220
116,154,231
117,157,195
74,149,183
75,151,189
61,122,195
73,122,194
55,174,197
71,141,248
70,141,246
97,125,222
97,131,190
48,127,222
65,130,225
65,133,231
61,158,233
52,122,233
61,129,240
54,128,216
54,130,218
54,130,191
49,174,192
54,130,205
44,174,245
65,130,232
54,130,275
57,172,185
95,127,259
96,128,255
53,128,253
69,136,274
100,130,196
117,127,216
98,136,197
98,165,230
65,130,226
97,128,223
99,131,297
98,131,209
54,139,193
44,139,245
98,130,228
100,133,200
98,130,198
98,130,227
96,128,193
98,128,227
47,139,189
98,130,195
95,128,190
51,129,227
98,130,227
98,132,231
98,173,208
72,172,218
73,146,182
78,156,234
80,155,282
58,120,278
58,130,232
54,124,267
60,122,183
49,176,266
64,159,195
65,175,194
51,137,251
57,124,266
99,133,233
98,176,251
90,176,251
49,130,231
49,130,206
49,130,252
49,123,251
49,124,252
58,132,214
48,176,213
49,176,214
49,176,214
54,130,213
64,161,249
106,140,251
71,140,245
79,121,240
50,121,242
75,149,251
119,120,259
48,149,252
48,120,196
75,120,273
79,144,232
49,144,212
64,138,232
50,151,224
67,133,232
61,120,227
98,158,213
49,122,251
58,130,230
58,130,233
50,175,232
48,123,252
49,176,185
62,158,183
61,146,183
119,160,250
82,160,207
80,121,241
