45,120,190
44,135,214
44,124,196
44,120,183
46,122,180
44,127,196
44,120,183
44,121,180
45,123,298
44,128,187
45,127,286
44,121,187
44,123,187
44,122,196
61,120,183
78,120,182
106,120,180
113,123,180
119,130,180
119,147,180
119,175,180
118,179,182
115,179,199
117,178,216
119,177,244
114,176,261
116,177,268
109,178,285
116,178,299
93,176,299
95,128,297
119,166,299
119,172,299
114,178,298
84,170,297
44,160,292
106,163,295
84,148,298
102,142,281
88,147,285
73,157,292
110,159,288
108,153,287
45,120,255
68,143,291
80,176,293
117,135,285
73,126,279
118,174,293
53,177,291
115,178,279
117,169,283
73,150,219
105,149,292
102,136,272
90,157,228
102,172,228
111,179,281
60,172,271
97,136,259
77,145,287
80,133,247
74,161,289
60,154,209
71,128,257
57,143,219
45,142,242
58,134,223
100,121,252
63,176,275
48,125,216
93,130,264
76,162,227
78,122,269
85,157,212
104,153,281
69,161,286
89,176,275
102,166,268
98,121,270
96,168,262
82,142,183
47,122,286
91,126,214
61,164,273
105,145,204
100,122,296
84,169,280
80,123,285
72,124,280
85,168,213
99,149,192
118,138,289
111,162,206
98,137,243
104,149,231
75,136,285
77,172,197
107,130,257
65,122,282
93,146,231
77,123,233
87,143,195
51,170,238
56,143,295
102,141,209
106,167,251
77,158,281
115,126,223
53,124,208
51,124,266
115,175,248
85,122,191
106,145,195
77,139,252
62,169,243
117,132,288
54,143,290
