73,176,218
57,168,252
52,164,288
51,164,246
52,164,256
83,165,289
62,123,245
61,123,184
62,123,245
92,146,256
92,146,184
92,138,276
73,150,184
55,165,275
54,166,275
52,165,274
70,173,241
69,172,241
69,172,242
69,172,241
68,165,242
69,172,241
69,172,241
69,172,241
69,173,241
55,172,241
69,172,276
69,172,276
69,165,241
55,164,240
48,172,190
51,151,245
51,122,244
52,152,254
52,155,254
62,164,246
62,163,184
61,121,184
59,146,293
71,133,275
72,138,184
73,138,183
54,164,273
55,164,273
54,164,273
73,164,183
55,120,242
69,137,241
69,172,247
69,172,241
69,172,241
55,164,241
69,172,241
69,165,241
55,137,241
55,164,241
69,164,275
69,165,241
69,137,241
74,154,191
50,144,191
81,162,244
81,162,256
101,152,253
48,162,289
61,121,243
61,122,244
61,163,182
74,147,276
65,138,275
92,138,276
73,137,218
73,165,274
73,164,274
73,146,218
55,170,198
69,164,275
68,164,274
69,163,191
68,137,191
103,172,191
68,137,275
69,137,275
68,165,276
69,164,273
69,172,275
69,172,275
69,172,241
69,172,275
69,173,276
72,151,283
69,137,245
82,163,286
82,163,204
81,126,204
82,172,204
82,164,286
82,163,245
81,164,287
81,164,287
82,164,286
81,163,287
82,123,205
92,164,287
92,164,246
88,164,275
103,164,275
69,173,275
69,163,275
82,163,274
69,164,273
69,138,275
69,147,275
55,164,192
69,164,275
55,165,275
55,165,275
82,164,275
69,164,275
72,179,242
69,172,245
68,137,285
81,163,240
68,122,285
71,126,285
68,164,285
69,163,285
68,170,285
61,122,275
62,152,246
61,122,286
44,123,184
92,122,275
61,123,245
94,154,286
110,165,276
69,164,275
69,164,275
69,165,275
82,164,275
69,164,275
69,172,275
69,172,276
55,137,276
69,172,276
69,172,275
70,164,275
45,164,274
105,137,275
109,145,183
109,147,292
69,138,256
68,164,256
69,138,288
68,136,205
61,123,245
66,164,294
70,137,241
68,136,276
73,138,182
74,165,182
73,165,275
73,165,275
52,164,181
69,171,276
69,172,275
69,138,276
55,137,275
55,164,191
54,165,247
69,172,276
69,172,275
54,172,247
55,165,276
69,137,190
69,135,276
69,172,191
62,151,192
93,124,253
105,143,254
67,153,254
51,152,254
51,172,270
61,163,182
70,142,210
70,174,244
70,175,275
73,146,275
68,133,275
87,125,182
103,164,273
102,164,273
73,164,273
71,143,250
69,174,246
69,137,240
69,172,241
69,166,276
69,164,275
69,164,240
54,132,240
109,138,240
106,164,275
103,137,241
69,164,241
68,172,190
69,164,273
69,164,191
92,165,252
71,143,244
102,136,216
104,153,204
72,122,288
104,139,243
61,138,243
69,174,206
69,155,276
69,139,277
104,173,275
104,139,218
104,164,274
72,165,273
73,179,218
105,140,276
104,139,275
104,139,191
103,137,191
82,164,275
69,172,191
69,164,275
69,137,275
103,164,274
69,164,275
69,172,275
69,172,275
69,172,241
69,138,275
69,143,191
70,123,246
69,163,277
69,123,275
104,163,277
104,172,277
104,139,278
105,164,286
104,163,241
62,123,286
61,123,287
62,124,205
61,122,193
63,164,216
112,164,287
111,129,246
109,164,275
55,137,275
69,163,275
55,123,274
69,164,274
55,164,275
69,138,275
69,165,276
55,164,275
55,172,275
55,164,275
44,167,275
82,164,191
69,164,275
73,178,240
68,137,285
68,137,285
69,122,286
68,135,284
102,163,285
69,164,285
68,122,285
68,164,246
61,152,275
61,164,245
81,122,287
81,122,246
92,164,275
61,122,245
55,165,194
55,164,275
69,164,276
69,164,275
68,138,275
82,164,275
69,164,275
69,172,275
55,138,275
55,138,275
55,172,276
69,172,276
69,164,274
110,163,278
53,172,275
70,146,274
104,138,246
102,164,256
68,173,204
82,123,288
82,123,238
61,123,207
69,172,206
92,172,276
73,146,276
73,138,208
44,165,275
73,165,274
69,165,274
104,139,199
68,172,276
69,139,276
69,171,241
69,164,190
69,164,192
69,137,276
69,172,275
69,172,276
55,164,191
55,172,276
55,164,241
69,172,247
69,164,192
103,172,275
71,164,272
101,152,244
101,153,211
68,152,207
67,169,205
61,121,182
70,121,182
103,137,275
103,137,275
103,138,275
70,137,275
69,137,275
55,164,273
72,164,273
73,164,182
85,169,255
71,176,180
69,169,271
68,164,191
68,142,276
103,138,240
104,171,276
69,164,191
104,174,240
103,171,191
69,137,241
69,164,240
68,172,192
114,153,191
69,143,191
92,137,182
68,162,204
101,137,205
104,139,275
66,162,243
61,122,244
61,122,184
69,172,205
92,138,276
92,139,276
73,138,205
73,164,203
109,164,274
73,165,218
73,143,274
69,176,275
68,164,274
68,163,191
68,165,275
69,172,191
68,171,191
69,168,275
68,137,191
69,164,275
69,172,275
69,172,275
69,164,275
69,172,275
69,138,275
44,151,204
61,122,275
68,172,276
82,163,286
82,123,285
82,172,286
69,123,286
69,163,245
68,164,250
82,164,182
82,164,287
82,123,287
79,123,185
92,164,287
82,164,287
55,141,276
69,164,275
54,138,274
69,164,275
54,165,274
54,164,273
55,138,275
55,164,275
69,164,192
55,164,275
103,178,275
55,166,275
82,164,275
81,164,275
69,163,275
69,172,240
68,137,285
68,163,240
69,122,285
48,165,285
102,163,285
69,163,273
68,122,285
92,122,246
61,152,275
61,163,287
81,123,285
92,122,275
91,164,245
61,122,245
55,165,276
82,164,275
69,164,275
69,164,275
48,172,275
69,164,275
69,172,275
69,171,275
55,172,275
55,164,276
69,172,275
71,139,276
82,164,275
82,148,276
69,164,275
45,125,225
108,138,189
68,161,187
110,172,192
68,134,188
110,138,198
64,135,205
69,125,191
72,122,183
51,123,182
73,123,182
59,125,228
73,124,182
73,123,184
74,124,183
81,131,183
82,123,189
83,124,188
69,124,191
68,124,187
110,124,246
109,125,189
69,124,192
81,135,189
68,134,188
110,123,206
70,125,197
110,138,206
61,123,206
110,124,219
72,138,183
46,138,183
46,139,183
46,139,186
73,124,186
46,125,187
73,140,187
46,123,182
74,140,187
46,137,184
47,123,186
47,125,193
68,123,191
72,121,180
72,122,196
82,123,205
68,123,197
83,124,202
69,124,189
110,124,207
59,124,183
110,125,208
65,136,195
68,122,185
54,122,188
69,122,206
49,134,222
110,123,199
110,123,192
69,120,208
108,135,189
68,161,188
110,172,188
68,122,188
110,137,221
69,123,190
69,173,190
72,122,182
72,121,181
73,121,183
63,120,197
73,124,183
73,124,184
73,124,183
55,131,189
82,123,205
82,125,184
110,124,186
68,124,182
110,124,185
83,124,191
69,125,241
81,135,189
68,161,188
68,123,248
61,123,204
110,137,220
69,123,205
55,125,183
46,137,183
46,138,184
46,137,183
46,139,186
73,124,185
46,138,186
73,140,187
46,139,185
74,140,185
46,137,184
47,140,215
45,123,223
82,123,205
72,121,184
72,122,180
82,123,189
47,125,188
83,125,224
65,124,194
110,125,193
69,124,207
83,125,208
69,124,205
83,125,189
69,123,205
83,125,189
69,126,197
110,125,207
56,125,194
68,124,242
68,123,259
55,164,218
55,164,266
55,163,258
82,123,204
82,136,190
55,136,219
72,137,246
73,135,219
62,128,247
53,128,192
51,128,183
55,165,191
54,163,191
82,131,192
82,123,247
68,123,184
68,123,185
55,164,273
55,120,219
68,122,205
101,129,211
55,164,219
55,164,219
82,123,193
49,164,244
61,162,183
69,174,184
82,123,273
92,120,276
92,124,277
73,162,218
73,160,206
93,162,183
73,160,206
72,162,208
68,160,205
68,162,208
73,160,229
73,162,186
51,148,213
52,155,258
82,154,202
72,128,182
82,164,247
83,125,248
68,127,273
54,164,183
55,164,228
68,123,183
68,125,273
55,164,218
55,164,219
55,163,186
55,126,197
55,134,204
55,164,191
54,164,218
69,139,191
68,130,228
55,168,196
81,138,192
55,164,218
82,139,197
83,138,248
82,136,191
72,135,243
73,138,219
62,128,247
53,137,199
51,136,217
55,165,192
54,165,192
82,149,184
82,123,247
68,123,184
68,124,195
55,164,184
55,123,219
68,122,184
69,123,219
55,164,218
55,164,219
68,122,243
55,125,280
55,137,184
55,168,183
82,125,223
91,133,214
92,160,184
73,162,218
73,161,206
68,162,183
69,160,206
72,162,208
73,125,181
62,162,209
73,160,206
73,162,185
55,160,206
55,161,207
73,145,181
73,127,203
51,160,205
73,146,206
72,161,183
73,127,191
62,160,247
73,161,207
73,127,206
73,176,193
46,161,207
73,161,184
73,135,207
51,138,185
52,161,206
73,161,184
73,146,186
73,130,219
52,150,225
62,120,225
47,120,193
55,176,229
49,133,272
87,125,227
66,126,182
65,127,224
46,120,225
44,126,230
55,136,231
56,128,228
50,120,225
98,120,189
71,139,246
67,170,236
56,178,182
83,136,225
101,148,258
70,178,180
70,178,187
55,149,185
105,178,180
70,178,180
44,176,195
55,175,180
104,174,244
61,169,181
52,172,247
63,170,277
62,159,194
73,126,200
47,131,193
73,131,272
47,133,271
75,156,225
65,125,206
46,150,226
59,170,225
70,125,284
58,122,228
46,157,192
45,141,231
46,127,196
71,171,249
66,168,185
62,166,180
58,142,248
71,178,180
67,173,189
66,178,258
91,143,260
71,178,180
61,175,186
65,178,181
62,125,273
55,167,205
102,136,273
103,137,288
103,164,246
82,164,256
68,165,289
68,123,246
61,123,245
69,138,282
104,139,256
103,146,276
104,138,276
71,166,276
73,165,275
73,166,182
54,164,209
69,171,180
69,172,275
55,165,191
55,165,275
82,164,190
55,163,195
69,138,276
69,172,275
82,137,192
55,172,192
69,172,241
69,142,276
55,172,241
68,172,275
73,152,253
